أبراهام لينكون
أرسطو
آين راند
أندريه أغاسي
ألدوس هكسلي
أندري تاركوفسكي
آرثر شوبنهاور
ألبرت أينشتاين
الإسكندر الأكبر
ألفريد هتشكوك
أتيلا الهوني
ألفرد نوبل
ألكسندر جراهام بيل
آندي وارهول
ألب أرسلان
أكيرا كوروساوا
آنا كورنيكوفا
آندريه ماركوف
آلفين توفلر
ألبرت شبير
آدا لوفلايس
ألبير كامو
أجاثا كريستي
هارون
ألن غينسبرغ
أناطولي كاربوف
أريستوفان
ألبرت شوايتزر
ألكسي كاريل
أناتول فرانس
أندريه جيد
ابن سينا
أوغستان-جان فرينل
أناكسيماندر
آليستر كراولي
آلان تورنج
ألكسندر ماكينزي (سياسي)
أشوكا
أنطونيوس بيوس
أغسطس (إمبراطور)
أندريه ماري أمبير
أمبروز
أحاب
أنطونيو فيفالدي
إبراهيم
أبسالوم
ألفرد راسل والاس
ألبرشت، دوق بروسيا
أحمد الأول
أحمد الثاني
أحمد الثالث
أغريبينا الصغرى
أحمد شاه الدراني
ألاريك الأول
ألاريك الثاني
ألبيرتوس ماغنوس
ألبوين ملك اللومبارد
ألفونسو دي ألبوكيرك
ألكسندر الثاني
ألكسندر الثالث
ألكسندر سيفيروس
ألكسيوس الأول كومنينوس
أندرو جاكسون
أندرو جونسون (رئيس)
ألكسندر سولجنيتسين
ألفريد العظيم
ابن الهيثم
ألياتس الثاني
ألفونسو الأول
ألفونسو الثالث عشر من إسبانيا
ألفونسو الخامس ملك أراغون
أبو بكر الصديق
أناندا
أناكساغوراس
أناكسيمينس من ميليتوس
أنكوس ماركيوس
أندرو الثاني
أندرونيكوس الثاني باليولوج
أندرونيكوس الأول كومنينوس
أميانوس مارسيليانوس
لوكيوس أبوليوس
ألكسندر سيلكيرك
أرنولد شوارزنيجر
آدم سميث
أنطوان لافوازييه
أميتاب باتشان
أغاثقلس
أوغستين لوي كوشي
أرخميدس
ألساندرو فولتا
ألكسندر فلمنج
أندرو كارنجي
أبل تاسمان
ألفار آلتو
أتل سيلبرغ
إسخيلوس
أندرو وايلز
آن برونته
أوغسطينوس
ألكسندر غروتينديك
أمريكو فسبوتشي
آريستيد مايول
أنطونيو كانوفا
أوغوست رودان
آليا
آنتون دريكسلر
أحمد شاه مسعود
آركاديوس
آجي بور
آرثر ستانلي إدنغتون
أرثر ميلر
ألساندرو سكارلاتي
ألويس ألزهايمر
أكيو موريتا
